Datetime,hour,energy_consumption,hour_mean,z_score,residual,anomaly_type,is_peak_hour,is_weekend,wastage_mw,cost_usd
2002-06-08 16:00:00,16,29137.0,35065.39220864972,-0.8487756720730332,-7854.307019504566,Demand Drop,0,1,0.0,0.0
2002-06-08 17:00:00,17,29432.0,35596.05150214592,-0.886908810261069,-7786.569457919126,Demand Drop,1,1,0.0,0.0
2002-06-08 18:00:00,18,29536.0,36421.93149554308,-1.024506151200466,-7659.675931003934,Demand Drop,1,1,0.0,0.0
2002-06-08 19:00:00,19,29094.0,36426.62991086167,-1.1732218331808453,-7335.141333442967,Demand Drop,1,1,0.0,0.0
2002-06-08 20:00:00,20,28463.0,36106.84021129085,-1.3602736225925127,-7037.342751052842,Demand Drop,1,1,0.0,0.0
2002-06-09 07:00:00,7,20055.0,29611.04688015847,-2.0993431374833915,-3382.304368414101,Pattern Outlier,0,1,0.0,0.0
2002-06-09 08:00:00,8,21363.0,31490.827830967315,-2.116684010456727,-3655.8729026395376,Pattern Outlier,0,1,0.0,0.0
2002-06-09 09:00:00,9,23339.0,32628.888246946186,-2.0340752346048845,-4123.2389846155165,Pattern Outlier,0,1,0.0,0.0
2002-06-12 12:00:00,12,45598.0,34588.618355893035,2.0172900720410767,5499.89052691438,Pattern Outlier,0,0,11009.381644106965,1321125.7972928358
2002-06-13 16:00:00,16,35382.0,35065.39220864972,0.045329151889581344,-7298.317197180557,Demand Drop,0,0,316.60779135028133,37992.93496203376
2002-06-13 17:00:00,17,34957.0,35596.05150214592,-0.09194933028487386,-7890.31844450935,Demand Drop,1,0,0.0,0.0
2002-06-13 18:00:00,18,34438.0,36421.93149554308,-0.2951743016990214,-8001.551443546428,Demand Drop,1,0,0.0,0.0
2002-06-13 19:00:00,19,33683.0,36426.62991086167,-0.43898117765671785,-7561.758275325214,Demand Drop,1,0,0.0,0.0
2002-06-14 14:00:00,14,33394.0,34916.601683724,-0.23703280759944226,-7237.60644128971,Demand Drop,0,0,0.0,0.0
2002-06-14 15:00:00,15,33088.0,34940.669692967975,-0.2731842666210379,-7932.601387936658,Demand Drop,0,0,0.0,0.0
2002-06-14 16:00:00,16,32537.0,35065.39220864972,-0.3619932218772142,-8760.017679760327,Demand Drop,0,0,0.0,0.0
2002-06-14 17:00:00,17,32282.0,35596.05150214592,-0.4768392142552489,-9040.603117329869,Demand Drop,1,0,0.0,0.0
2002-06-14 18:00:00,18,31869.0,36421.93149554308,-0.6773965622802558,-8950.862920941545,Demand Drop,1,0,0.0,0.0
2002-06-14 19:00:00,19,31208.0,36426.62991086167,-0.8349815312026353,-8373.194040811133,Demand Drop,1,0,0.0,0.0
2002-06-14 20:00:00,20,30620.0,36106.84021129085,-0.9764207262959596,-7305.159552307043,Demand Drop,1,0,0.0,0.0
2002-06-15 14:00:00,14,28893.0,34916.601683724,-0.9377312754979454,-7471.6486991107595,Demand Drop,0,1,0.0,0.0
2002-06-15 15:00:00,15,28544.0,34940.669692967975,-0.9432169833204491,-8164.3532226183015,Demand Drop,0,1,0.0,0.0
2002-06-15 16:00:00,16,28327.0,35065.39220864972,-0.964744432266743,-8664.307019504566,Demand Drop,0,1,0.0,0.0
2002-06-15 17:00:00,17,28266.0,35596.05150214592,-1.0546776344515203,-8952.569457919126,Demand Drop,1,1,0.0,0.0
2002-06-15 18:00:00,18,28239.0,36421.93149554308,-1.2174770628290612,-8956.675931003934,Demand Drop,1,1,0.0,0.0
2002-06-15 19:00:00,19,27898.0,36426.62991086167,-1.3645820040256602,-8531.141333442967,Demand Drop,1,1,0.0,0.0
2002-06-15 20:00:00,20,27505.0,36106.84021129085,-1.5307562719444356,-7995.342751052842,Demand Drop,1,1,0.0,0.0
2002-06-15 21:00:00,21,27880.0,35741.057279630244,-1.5021129701043774,-7111.69391855906,Demand Drop,1,1,0.0,0.0
2002-06-16 07:00:00,7,20208.0,29611.04688015847,-2.065730964577263,-3229.304368414101,Pattern Outlier,0,1,0.0,0.0
2002-06-16 08:00:00,8,21526.0,31490.827830967315,-2.0826175255734136,-3492.8729026395376,Pattern Outlier,0,1,0.0,0.0
2002-06-16 09:00:00,9,23432.0,32628.888246946186,-2.0137123419855425,-4030.2389846155165,Pattern Outlier,0,1,0.0,0.0
2002-06-16 17:00:00,17,29438.0,35596.05150214592,-0.8860455058484252,-7062.342095062646,Demand Drop,1,1,0.0,0.0
2002-06-16 18:00:00,18,29426.0,36421.93149554308,-1.0408722269746722,-7183.628519275473,Demand Drop,1,1,0.0,0.0
2002-06-16 19:00:00,19,29100.0,36426.62991086167,-1.1722618323237641,-7153.24196292273,Demand Drop,1,1,0.0,0.0
2002-06-24 11:00:00,11,44749.0,34197.643116540115,2.124615556188541,6669.794462045109,Pattern Outlier,0,0,10551.356883459885,1266162.826015186
2002-06-24 12:00:00,12,47140.0,34588.618355893035,2.2998364848772956,7862.945077621203,Demand Surge,0,0,12551.381644106965,1506165.7972928358
2002-06-24 13:00:00,13,48937.0,34759.57114559261,2.3829368399005975,8780.374498181096,Demand Surge,0,0,14177.428854407393,1701291.4625288872
